,player_id,game_year,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce,player_name,birth_year,height_cm,weight,uid
0,8444894,2000,780,51806,12,11,66,0.0,2,0,10,12,26,0.0,0.0,0,0,0.0,-3,45129,541,6136,Greg Adams,1963,193.04,196.0,Greg Adams_2000_8444894
1,8444919,2000,1540,96465,19,1,69,0.0,1,10,22,0,0,0.0,0.0,0,0,0.0,2,68317,12612,15536,Tommy Albelin,1964,187.96,195.0,Tommy Albelin_2000_8444919
2,8444919,2001,42,33620,3,1,33,0.0,0,0,4,0,0,0.0,0.0,0,0,0.0,0,31218,877,1525,Tommy Albelin,1964,187.96,195.0,Tommy Albelin_2001_8444919
3,8444919,2002,37,33781,6,1,30,0.0,0,1,6,0,0,0.0,0.0,1,0,0.0,10,30650,1218,1913,Tommy Albelin,1964,187.96,195.0,Tommy Albelin_2002_8444919
4,8444919,2003,44,38864,3,1,27,0.0,0,1,4,0,0,0.0,0.0,0,0,0.0,6,34961,2347,1556,Tommy Albelin,1964,187.96,195.0,Tommy Albelin_2003_8444919
5,8444919,2005,36,30200,6,0,15,0.0,0,1,2,0,0,0.0,0.0,0,0,0.0,4,27679,1106,1415,Tommy Albelin,1964,187.96,195.0,Tommy Albelin_2005_8444919
6,8445000,2000,518,53248,13,20,119,0.0,8,7,32,93,187,0.0,0.0,0,0,0.0,0,37464,1212,14572,Dave Andreychuk,1963,193.04,225.0,Dave Andreychuk_2000_8445000
7,8445000,2001,1148,80821,17,21,161,0.0,9,9,109,738,1393,0.0,0.0,1,1,0.0,-12,53997,9224,17600,Dave Andreychuk,1963,193.04,225.0,Dave Andreychuk_2001_8445000
8,8445000,2002,1008,69959,14,20,170,0.0,15,13,34,652,1117,0.0,0.0,0,0,0.0,-12,44047,8404,17508,Dave Andreychuk,1963,193.04,225.0,Dave Andreychuk_2002_8445000
9,8445000,2003,1148,84166,18,21,165,0.0,10,6,42,852,1475,0.0,0.0,0,0,0.0,-9,58466,8479,17221,Dave Andreychuk,1963,193.04,225.0,Dave Andreychuk_2003_8445000
